user,friend,community,community_id,groundtruthcommunity
1,1998,Accessory Junkies,5001,LifeStyle
2,1998,Acoustic Music Jam Sessions,5002,Music
3,1997,Acoustic Music Performances,5003,Music
4,1997,Actors' Guild,5004,Entertainment
5,1996,Adventure Racing Team,5005,Fun
6,1996,Adventure Seekers,5006,Fun
7,1994,Adventure Travel Experiences,5007,Fun
8,1991,Adventure Travel Group,5008,Fun
9,1989,Adventure Travelers,5009,Fun
10,1988,AI and Machine Learning,5010,Computer Science
11,1987,AI and Machine Learning Conferences,5011,Computer Science
12,1987,AI and Robotics Research,5012,Computer Science
13,1986,AI Enthusiasts,5013,Computer Science
14,1986,Amateur Astronomers,5014,Astronomy
15,1985,Animal Lovers,5015,Veterinary
16,1983,Animal Photography Club,5016,Veterinary
17,1982,Animal Rescue Heroes,5017,Veterinary
18,1980,Animal Rescue Network,5018,Veterinary
19,1979,Animal Rights Awareness Campaigns,5019,Veterinary
20,1978,Animal Rights Awareness Events and Campaigns,5020,Veterinary
21,1975,Animal Sanctuary Volunteers,5021,Veterinary
22,1974,Animal Shelter Volunteers,5022,Veterinary
23,1974,Animal Welfare Volunteers,5023,Veterinary
24,1973,Anime Addicts,5024,Cartoons
25,1971,Anime and Manga Lovers,5025,Cartoons
26,1969,App Developers Alliance,5026,Computer Science
27,1969,App Developers Forum,5027,Computer Science
28,1968,App Development,5028,Computer Science
29,1968,App Development Bootcamps,5029,Computer Science
30,1966,App Development Courses,5030,Computer Science
31,1963,App Development Hackathons,5031,Computer Science
32,1961,Aquarium Hobbyists,5032,Veterinary
33,1961,Arabic Language Hub,5033,Extracurricular
34,1961,Archaeology Enthusiasts,5034,Fun
35,1961,Architectural Photography,5035,Fun
36,1959,Architectural Tours,5036,Fun
37,1958,Architecture Admirers,5037,Fun
38,1957,Art Aficionados,5038,Arts
39,1955,Art Enthusiasts,5039,Arts
40,1954,Art Therapy Group,5040,Arts
41,1953,Artisans and Craftspeople,5041,Arts
42,1952,Artistic Expressions,5042,Entertainment
43,1951,Astral Projection Society,5043,Spiritual
44,1951,Astrology Enthusiasts,5044,Astronomy
45,1950,Astronomy and Astrophysics,5045,Astronomy
46,1948,Astronomy Club,5046,Astronomy
47,1945,Atheist and Agnostic Thinkers,5047,Religious
48,1943,Augmented Reality (AR) Collective,5048,Technology
49,1943,Automotive Technology,5049,Technology
50,1941,Baby Sign Language,5050,Extracurricular
51,1941,Babywearing Community,5051,Extracurricular
52,1939,Backpacking Buddies,5052,Extracurricular
53,1939,Backyard Gardening Club,5053,Extracurricular
54,1938,Backyard Gardening Tips,5054,Extracurricular
55,1937,Backyard Gardening Tips and Tricks Workshops,5055,Extracurricular
56,1937,Baking and Pastry Club,5056,Food
57,1934,Baking Brigade,5057,Food
58,1933,Basketball Coaching Clinics,5058,Sports
59,1930,Basketball Fanatics,5059,Sports
60,1928,Basketball Fans United,5060,Sports
61,1927,Basketball Pickup Games,5061,Sports
62,1925,Basketball Tournaments,5062,Sports
63,1923,BBQ Lovers Club,5063,Food
64,1922,Beach Bums,5064,Fun
65,1922,Beach Cleanup Drives,5065,Extracurricular
66,1922,Beach Cleanup Initiatives,5066,Extracurricular
67,1920,Beach Volleyball Club,5067,Sports
68,1918,Biohackers Lab,5068,Fun
69,1918,Bird Watchers Society,5069,Veterinary
70,1918,Bird Watching Society,5070,Veterinary
71,1917,Birdwatching and Ornithology,5071,Veterinary
72,1916,Birdwatching Excursions,5072,Fun
73,1916,Blended Families Together,5073,Spiritual
74,1915,Blockchain Builders,5074,Computer Science
75,1914,Blockchain Enthusiasts,5075,Computer Science
76,1914,Blockchain Technology Adoption,5076,Computer Science
77,1913,Blockchain Technology Seminars,5077,Computer Science
78,1912,Blockchain Technology Summits,5078,Computer Science
79,1912,Blog Monetization Strategies,5079,Extracurricular
80,1912,Blogging and Content Creation,5080,Extracurricular
81,1912,Blogging and Content Creation Workshops,5081,Extracurricular
82,1912,Blood Donors Guild,5082,Volunteers
83,1911,Bodybuilding Titans,5083,Sports
84,1910,Bonsai Tree Aficionados,5084,Nature Lovers
85,1909,Book Club,5085,Knowledge
86,1908,Bookworms Unite,5086,Knowledge
87,1907,Bookworms United,5087,Knowledge
88,1906,Breastfeeding Advocacy,5088,Awarness
89,1904,Bridge and Card Games,5089,Games
90,1904,Buddhist Meditation Group,5090,Spiritual
91,1903,Business Networking Group,5091,Bussiness
92,1902,Cactus and Succulent Collectors,5092,Nature Lovers
93,1896,Cake Decorating Classes and Workshops,5093,Food
94,1896,Cake Decorating Workshop,5094,Food
95,1894,Calligraphy and Hand Lettering,5095,Knowledge
96,1892,Calligraphy Workshops,5096,Knowledge
97,1891,Calligraphy Workshops and Practice Sessions,5097,Knowledge
98,1891,Camping and Hiking,5098,Fun
99,1890,Camping and Hiking Group,5099,Fun
100,1890,Car Enthusiasts,5100,Automobiles
101,1888,Car Enthusiasts Club,5101,Automobiles
102,888,Car Modification Crew,5102,Automobiles
103,1888,Car Racing Championships,5103,Sports
104,1887,Car Racing Championships and Track Days,5104,Sports
105,1887,Car Racing Enthusiasts,5105,Sports
106,1887,Car Rally Racing,5106,Sports
107,1886,Car Restoration Club,5107,Automobiles
108,1886,Carpenters' Guild,5108,Extracurricular
109,1885,Cat Care Tips,5109,Veterinary
110,1885,Cat Lovers Club,5110,Veterinary
111,1884,Cat Owners Club,5111,Automobiles
112,1881,Chess Coaching Sessions,5112,Games
113,1877,Chess Competitions,5113,Games
114,1876,Chess Masters,5114,Games
115,1874,Chess Open Tournaments,5115,Games
116,1874,Chess Puzzle Solving,5116,Games
117,1873,Chess Simultaneous Exhibition,5117,Games
118,1872,Chess Simultaneous Matches,5118,Games
119,1871,Chess Strategies and Tactics,5119,Games
120,1871,Chess Strategy Workshops,5120,Games
121,1870,Chess Tactics Workshop,5121,Games
122,1870,Chocolate Indulgence,5122,Food
123,1869,Christian Fellowship,5123,Religious
124,1867,Classic Car Collectors,5124,Automobiles
125,1867,Classic Car Exhibitions,5125,Automobiles
126,1865,Classic Car Restoration,5126,Automobiles
127,1865,Classic Car Shows,5127,Automobiles
128,1864,Classical Music Lovers,5128,Music
129,1864,Climate Change Activists,5129,Nature Lovers
130,1863,Cloud Computing Crew,5130,Computer Science
131,1863,Code Wizards,5131,Computer Science
132,1861,Coding Bootcamp Grads,5132,Computer Science
133,1861,Coding Bootcamps,5133,Computer Science
134,1860,Coding Challenges and Contests,5134,Computer Science
135,1860,Coding Ninjas,5135,Computer Science
136,1859,Coding Workshops and Meetups,5136,Computer Science
137,1858,Coffee Addicts,5137,Food
138,1858,Coffee and Conversations,5138,Food
139,1857,Coffee Appreciation Club,5139,Food
140,1857,Coffee Connoisseurs,5140,Food
141,1855,Coffee Cupping Sessions,5141,Food
142,1855,Coffee Roasting and Brewing,5142,Food
143,1855,Coffee Tasting Workshops,5143,Food
